IP;United_States_West;United_States_East;United_Kingdom;Australia;France;South_Korea;Japan;Spain;Italy;Brazil;Canada_West;Canada_East;Germany_West;Germany_East;Poland;Russian;Sweden;Turkey
99.181.97.74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.88;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.27;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
99.181.97.143;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.103;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.147;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.227.248;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.227.161;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.227.106;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.96.107;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
192.16.65.52;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.124;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.153;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.141;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.244.130;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.86;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.212;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.221;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.162;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
192.16.65.156;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
99.181.97.118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.227.243;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.161;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.228.71;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
99.181.96.26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.104;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.54;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
99.181.97.72;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.159;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.246.30;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.151;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.126;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.71;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.92;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.9;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
99.181.96.228;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.137;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.19;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.228.13;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
52.223.226.85;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.169;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.49;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.97;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
52.223.226.151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.237;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
